OrderID,CustomerID,CustomerName,Country,Category,OrderDate,Quantity,UnitPrice,PaymentMethod,TotalAmount
1,bdd640fb-0667-4ad1-9c80-317fa3b1799d,Michael Smith,Canada,Science,2024-05-31,2,27.8,Credit Card,55.6
2,23b8c1e9-3924-46de-beb1-3b9046685257,Allison Lopez DDS,India,Fiction,2024-02-27,4,40.13,Gift Card,160.52
3,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Greg Dyer,UK,Fiction,2025-01-09,1,56.12,Credit Card,56.12
4,972a8469-1641-4f82-8b9d-2434e465e150,John Baker,UK,Romance,2024-08-02,2,39.01,Credit Card,78.02
5,17fc695a-07a0-4a6e-8822-e8f36c031199,Megan Hall,USA,Children,2024-11-09,2,36.9,Credit Card,73.8
6,9a1de644-815e-46d1-bb8f-aa1837f8a88b,John Garrison,USA,Fantasy,2023-11-08,2,36.05,Credit Card,72.1
7,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Chelsea Salinas,USA,Non-Fiction,2025-01-05,1,29.88,PayPal,29.88
8,6b65a6a4-8b81-48f6-b38a-088ca65ed389,Ashlee Thomas,Germany,Fantasy,2024-02-12,3,33.57,Credit Card,100.71
9,47378190-96da-4dac-b2ff-5d2a386ecbe0,Laura Hill,UK,Non-Fiction,2023-06-12,2,43.45,Credit Card,86.9
10,c241330b-01a9-471f-9e8a-774bcf36d58b,Jennifer Lopez,UK,Biography,2024-06-23,3,49.19,Bank Transfer,147.57
11,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Dennis Arnold,USA,Biography,2025-04-16,1,5,PayPal,5
12,371ecd7b-27cd-4130-8722-9389571aa876,Jamie White,India,Non-Fiction,2023-11-26,1,45.82,PayPal,45.82
13,1a2a73ed-562b-4f79-8374-59eef50bea63,Ashley Williams,Australia,Fantasy,2025-02-07,1,30.58,Credit Card,30.58
14,5be6128e-18c2-4797-a142-ea7d17be3111,Danny Lee,USA,Romance,2023-06-26,1,42.42,PayPal,42.42
15,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Hayley Carter,USA,Fiction,2024-02-15,3,40.41,Bank Transfer,121.23
16,759cde66-bacf-43d0-8b1f-9163ce9ff57f,Debbie Sherman,USA,Science,2023-12-29,3,33.02,Credit Card,99.06
17,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Rebecca Colon,Canada,Fiction,2024-11-12,1,42.88,Bank Transfer,42.88
18,4b0dbb41-8d52-48f1-942c-3fe860e7a113,Lauren Nguyen,Canada,Romance,2024-05-13,1,39.28,Credit Card,39.28
19,e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Max Leblanc,Canada,Fiction,2023-06-10,1,34.44,Credit Card,34.44
20,3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Hunter Campos,USA,Fiction,2023-11-11,1,33.36,PayPal,33.36
21,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Jesse Johnson,UK,Non-Fiction,2023-07-12,2,20.19,Credit Card,40.38
22,fc377a4c-4a15-444d-85e7-ce8a3a578a8e,Brandy Lopez,USA,Science,2024-09-18,1,35.22,Credit Card,35.22
23,ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,Jennifer Gonzalez,USA,Fantasy,2024-05-14,1,5.14,Gift Card,5.14
24,7412b293-4729-4739-a14f-f3d719db3ad0,James Cuevas,Canada,Biography,2025-03-22,4,39.32,PayPal,157.28
25,29a3b2e9-5d65-4441-9588-42dea2bc372f,Brandon Stewart,Canada,Non-Fiction,2024-06-24,1,46.24,Credit Card,46.24
26,ab9099a4-35a2-40ae-9af3-05535ec42e08,Victor Ball,Australia,Fiction,2024-09-28,4,13.27,Credit Card,53.08
27,aefcfad8-efc8-4849-b3aa-7efe4458a885,Nicole Juarez,USA,History,2024-04-08,1,30.85,Credit Card,30.85
28,a28defe3-9bf0-4273-9247-6f57a5e5a5ab,Brian Mullins,Canada,Science,2024-12-05,1,56.29,Bank Transfer,56.29
29,3eabedcb-baa8-4dd4-88bd-64072bcfbe01,David Wilson,UK,Non-Fiction,2023-12-21,1,67.74,Gift Card,67.74
30,451b4cf3-6123-4df7-b656-af7229d4beef,Mary Myers,USA,Non-Fiction,2025-04-22,1,33.55,Bank Transfer,33.55
31,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,Marc Brown,UK,Children,2024-12-11,1,35.94,Gift Card,35.94
32,5304317f-af42-412f-b838-b3268e944239,Angela Collier,USA,Non-Fiction,2024-09-24,1,33.93,Credit Card,33.93
33,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Richard Young,USA,Romance,2024-10-30,2,37.26,Gift Card,74.52
34,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Gabriella Jones,Germany,Children,2023-07-23,1,53.53,PayPal,53.53
35,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,Teresa Collins,India,Fantasy,2023-05-16,3,35.05,PayPal,105.15
36,9132b63e-f162-47e4-a9c3-49e03602f8ac,Gary Gilbert,Australia,Children,2024-01-01,1,14.43,Credit Card,14.43
37,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,Brenda Nicholson,Canada,Fiction,2024-02-28,4,38.86,PayPal,155.44
38,e27a984d-6548-41d0-bfcd-9eb1a7cad415,Michele Barnes,USA,Fantasy,2024-03-07,1,29.23,PayPal,29.23
39,24933b83-7577-40a9-a491-f0b2ea1fca65,Robert Meza,UK,Science,2023-09-20,2,18.2,PayPal,36.4
40,beb79919-3f22-4af8-a3be-d01d43cf2fde,Cindy Harrington,Canada,Fiction,2025-03-06,4,18.21,Credit Card,72.84
41,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,Kiara Hawkins,USA,Science,2023-08-01,1,33.35,Gift Card,33.35
42,956269f0-e5d7-4875-adad-d6c795a76d79,Elizabeth Cooper,Canada,Non-Fiction,2024-03-07,2,44.4,Credit Card,88.8
43,ff50bde4-3825-47b8-9cab-cc97663f1c97,Mary Santos,USA,Romance,2025-03-25,2,43.57,Gift Card,87.14
44,7e570ddf-8270-40a8-a369-b584ff5e9ff0,Jacob Cabrera,Germany,Children,2023-09-08,1,53.09,Gift Card,53.09
45,dc713d96-0c0f-4195-817a-f08a1745d6d8,Jacob Trevino,USA,History,2025-02-06,3,23.65,PayPal,70.95
46,28f49481-a0a0-4dc4-a720-9bdf1c11f735,Christopher Bowen,UK,Fiction,2023-11-23,3,29.45,Credit Card,88.35
47,98ae4334-6c12-4ce8-ae34-0454cac5b68c,David Ruiz,Canada,Non-Fiction,2024-03-16,2,44.53,PayPal,89.06
48,988c24c9-61b1-4d22-a280-1c4510435a10,Jessica Owens,Canada,Biography,2023-10-09,4,45.81,Credit Card,183.24
49,405cacec-8774-49a9-b7d2-1e02ff01cf99,Amy Higgins,Canada,Romance,2025-04-15,1,27.19,Credit Card,27.19
50,f143262f-dc5c-4eed-8da0-365bf89897b9,Alexander Mitchell,USA,Fiction,2025-04-09,2,24.7,Credit Card,49.4
51,1d53434b-b881-49b9-ae27-0da702f06b90,Steven Boyd,India,Non-Fiction,2023-05-17,4,42.07,PayPal,168.28
52,c0398710-8976-4334-a281-7efdae849217,Maria Wright,Australia,Non-Fiction,2023-09-09,1,48.19,Credit Card,48.19
53,5715bd6f-a416-4293-84c2-e2e3444ea7c8,Jacqueline Herman,Germany,Science,2025-04-21,2,31.44,Credit Card,62.88
54,287d06ca-6f4c-469a-8b22-d3081c8eaee9,Andrew Delgado,Germany,Romance,2024-12-09,1,41.89,PayPal,41.89
55,b8db0672-f42d-47cc-80d4-af5974273ca3,William Webb,UK,History,2024-01-12,1,35.04,PayPal,35.04
56,f8cda88b-436d-46e2-b83c-fe0be037e5ed,Marvin Flores,Germany,Children,2025-03-27,2,25.23,Credit Card,50.46
57,81f76d1c-2dbc-4134-830f-f46e8026695f,Michael Wilson,USA,Romance,2024-11-28,3,46.03,Credit Card,138.09
58,a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,Julie Martinez,USA,Non-Fiction,2024-11-13,1,31.59,Credit Card,31.59
59,81f631d4-a392-41a7-9777-a4774c66e0a8,Toni Lamb,USA,Fiction,2024-10-04,5,12.27,Bank Transfer,61.35
60,5fb8d16c-2720-497d-b2eb-d6899be578c7,Cindy Martin,Canada,Science,2024-08-30,1,25.13,PayPal,25.13
61,f4188f3f-8a14-4e62-a95b-4715c333e861,Jeffery Jennings,Canada,Biography,2024-05-09,5,5,Bank Transfer,25
62,eb2263dd-87c5-421e-ac24-a3c5c754108f,Anthony Gordon,USA,Romance,2024-06-17,2,75.56,PayPal,151.12
63,7d154385-52fb-443b-9954-6eb400257ad1,Luke Moore,Australia,Science,2024-11-15,5,54.49,Bank Transfer,272.45
64,5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Danielle Bradley,Canada,Science,2024-03-09,2,15.21,Credit Card,30.42
65,ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,Frank Robinson,USA,Fantasy,2024-01-09,2,26.15,PayPal,52.3
66,3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,Richard Wilson,Canada,Non-Fiction,2025-02-09,5,38.38,PayPal,191.9
67,14296c07-f26b-4776-913e-4de2e0c53cb8,Chad Palmer,USA,Non-Fiction,2023-10-20,1,58.99,Credit Card,58.99
68,d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,Aaron Schneider,Australia,Biography,2024-01-08,4,45.86,Credit Card,183.44
69,885f6e66-c2b6-42c5-ba5d-310011b7e948,Kurt Montgomery,USA,Fantasy,2024-04-30,2,38.31,Credit Card,76.62
70,a8e56e0c-20de-435d-a031-d750c40db9b4,Jacqueline Gonzalez,India,Non-Fiction,2024-06-24,4,26.17,PayPal,104.68
71,2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,Evan Smith,Australia,Children,2024-02-14,1,42.17,Credit Card,42.17
72,9b49bd26-df57-459a-8715-a10343dac043,Abigail Parsons MD,USA,Non-Fiction,2024-03-13,4,41.57,PayPal,166.28
73,edcd465e-3638-4821-b6e0-7cc06c52c49f,Dana Snyder,USA,Fiction,2024-02-20,3,35.51,Gift Card,106.53
74,b09b2a5c-badc-432a-8159-0f538a0f4efb,Stacy Garner,Australia,Biography,2024-04-14,5,33.8,Gift Card,169
75,66245bfa-4fcc-439a-b683-d2e6337ea2df,Gregory Brown,UK,Non-Fiction,2025-03-23,1,28.29,Bank Transfer,28.29
76,5f987c71-a65e-488e-abf3-ad39fec21bbe,Kathryn Chavez,UK,Fantasy,2023-10-05,2,54.3,PayPal,108.6
77,7394988f-847f-49b4-a64d-1bcb702753a1,David Maxwell,Australia,Fiction,2024-03-19,1,9.63,Credit Card,9.63
78,1064005c-3985-43cf-bf76-be1d1efa2197,Larry Higgins,USA,Children,2025-02-02,1,39.63,Credit Card,39.63
79,8dcdcd03-969b-4662-8562-8059568cc69b,Jason Norris,Canada,Fiction,2024-12-17,3,35.25,Credit Card,105.75
80,01d74256-3860-4ab6-96a4-02f23ae8cc93,Elizabeth Jones,USA,Romance,2023-05-14,3,5.47,Credit Card,16.41
81,0f1259e0-a18f-46b6-b535-106e122c9a56,Brianna Mccormick,Germany,Science,2023-10-10,1,29.33,Credit Card,29.33
82,080aadfb-e7c9-4b26-9141-25c63a9bedd4,Anne Jones,UK,Science,2025-04-07,2,19.71,Credit Card,39.42
83,839fbc50-1223-4513-9496-f63cdc1110c1,Joshua Anderson,Canada,Fiction,2023-08-13,3,19.51,PayPal,58.53
84,7c441fe7-ab42-40a7-874a-493b3ceddf2d,Anthony Christensen,USA,Fiction,2025-02-23,5,23.25,PayPal,116.25
85,b92da22b-21df-406f-8a0b-3c3336d8393a,David Brooks,Canada,Fiction,2023-07-06,1,53.68,Credit Card,53.68
86,93829b43-922f-415a-a1e3-db63ef7ddc76,Eric Hernandez,Canada,Non-Fiction,2023-07-18,1,34.11,Credit Card,34.11
87,7914c120-c8dc-419f-be35-11287900f7f9,Joseph Payne,UK,Science,2024-08-30,2,46.18,Credit Card,92.36
88,1825bc54-30be-445f-a835-14f2ceb81f9d,David Johnson,UK,Science,2024-09-29,5,16.97,PayPal,84.85
89,5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Christina Simon,Germany,Science,2024-10-30,2,25.71,Credit Card,51.42
90,dd2467ac-778e-4db3-a93d-ffbc6c6fa611,Megan Mills,Canada,Children,2023-08-30,1,28.62,Gift Card,28.62
91,a748dbcf-ac61-4e63-8dde-29a6baa4b71a,Mandy Walker,USA,Non-Fiction,2023-11-24,3,37.4,Bank Transfer,112.2
92,0f844fef-1931-49ee-a56c-0941fbf24050,Cynthia Cunningham,UK,Fiction,2023-12-28,1,42.98,PayPal,42.98
93,ccf3a171-56dc-4907-ba6c-34ab6712303a,Angelica Mays,Australia,Fiction,2024-07-02,1,39.06,Gift Card,39.06
94,310c0c00-3fa7-4104-9bf9-0e27dc96925e,David James,UK,Romance,2024-03-21,2,22.89,Credit Card,45.78
95,23e2fcb4-72d8-467d-894a-05e430b187ef,Paul Watkins,Australia,Science,2023-06-25,2,46.1,PayPal,92.2
96,766ecb15-474e-4c19-aef9-12766c006f61,John Olson,Canada,Fiction,2024-01-26,2,25.86,PayPal,51.72
97,134c6c92-ec5b-427c-9fde-4fbf3ff350bf,Alexander Anderson,Canada,Fiction,2025-03-06,1,38.99,Gift Card,38.99
98,db20a56e-dc81-4fe7-8eda-8bbb71710434,Mitchell Deleon,Canada,Fantasy,2023-11-22,2,14.39,Gift Card,28.78
99,a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,Susan Bryant,USA,History,2024-05-01,3,31.16,Gift Card,93.48
100,03c72ba8-d605-4770-8a63-f881ffd0f9d5,Derrick Diaz,USA,Science,2024-08-09,4,42.76,PayPal,171.04
101,c0e9ab30-ed26-42e9-97e0-11b7f8102383,Rebecca Lambert,USA,Non-Fiction,2024-07-14,1,36.54,Credit Card,36.54
102,680ac07a-2a93-4d62-bc83-5dc0d9441fa5,Erica White,UK,Non-Fiction,2024-05-20,1,22.73,Credit Card,22.73
103,dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,Joseph Miller,Canada,Biography,2025-02-17,3,43.13,Credit Card,129.39
104,2a25a888-0f02-4ad0-a706-7ef466aa9385,Richard Molina,Canada,Romance,2025-03-12,2,23.33,Credit Card,46.66
105,63f2ae24-fc3d-4348-808d-4127610461e3,Rebecca Torres,Germany,Non-Fiction,2023-12-10,1,8.79,Credit Card,8.79
106,c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,Jack Jacobs,USA,Romance,2025-03-21,1,50.5,PayPal,50.5
107,b253d218-6c4a-47ea-8906-17f2747b6dba,James Morgan,Canada,Romance,2023-11-15,1,19.95,Bank Transfer,19.95
108,c88a618e-fed4-457d-bb02-6576f512c4c3,Lindsay Chavez,Australia,Non-Fiction,2024-10-09,3,46.84,Bank Transfer,140.52
109,7c967f79-b7e9-4aca-a970-65e18e46d534,Mr. Jeremy Cohen Jr.,USA,Non-Fiction,2024-10-25,4,31.45,PayPal,125.8
110,37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,Kathryn Perry,USA,Fiction,2023-07-10,2,44.68,Credit Card,89.36
111,bc594585-9445-48c0-8ef8-c2d6f7fd5646,Jeffery Richards,USA,Fiction,2024-06-19,2,23.22,Gift Card,46.44
112,504867ba-bf7b-439b-8f9a-ea4b8acd4e10,Chad Morales,USA,History,2024-09-30,2,47.82,Gift Card,95.64
113,7a0ecfea-958c-49ba-8cd6-20c20ea2622b,Tammy Alexander,Germany,Non-Fiction,2024-01-18,4,26.82,Credit Card,107.28
114,87f7e1fb-da4b-49ca-ab5c-f46780bacd64,Alexander Cox,Australia,Romance,2023-06-13,3,30.89,Gift Card,92.67
115,82010c62-f5f5-4b22-8e8f-a8e0284d82e5,Brett Stephens,UK,Biography,2024-07-30,2,5,Credit Card,10
116,118a9d29-2f92-4996-99f1-95d014822f53,Karen Mitchell,Germany,Fiction,2024-07-27,1,10.7,Gift Card,10.7
117,dca02eec-acda-4acc-9165-e21098543881,Carol Taylor DDS,Australia,Children,2024-03-07,1,46.37,Credit Card,46.37
118,f10c718b-1eb0-438a-a75d-d5af3c365296,Pam Roberts,USA,Romance,2024-05-25,1,25,Gift Card,25
119,94340a03-3f07-4814-91d6-3f78e3e9de99,Benjamin Phillips,Germany,Romance,2023-09-28,2,5.58,Gift Card,11.16
120,14fcdd54-9e8f-4965-8a2c-827e98326856,James Snyder,Canada,Romance,2024-10-10,2,25.64,Credit Card,51.28
121,90b2b633-956b-4c0c-a849-9b926b5252e3,Daniel Phillips,Australia,Non-Fiction,2023-08-24,3,43.07,PayPal,129.21
122,42c18a62-ef48-48d5-90fd-9d3f85d51695,Andrea Bryant,Germany,Children,2024-04-30,1,17.05,Gift Card,17.05
123,506e5a9a-b758-488d-ab73-295b344a54b8,Melinda Thompson,Canada,Science,2024-11-19,1,50.54,Credit Card,50.54
124,21813d25-6552-48a6-83ff-50113d1a85dd,Jade Phillips,USA,Biography,2024-03-13,1,26.74,PayPal,26.74
125,750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Kyle Mooney,USA,Non-Fiction,2023-08-10,3,29.22,Credit Card,87.66
126,ef8c485b-c07a-40f2-add4-253b50f0fd0a,Christine Leblanc,Canada,Fantasy,2024-12-26,4,23.38,PayPal,93.52
